2022 FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Texas Tech,Joey McGuire,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,Tulane,Kansas State,Clemson,Florida State,LSU,Utah,USC,Oregon State,Oregon,Notre Dame,Mississippi State,North Carolina,Pittsburgh,UCLA,South Carolina,Troy,Texas Tech
Army,Jeff Monken,Georgia,TCU,Ohio State,Michigan,Tennessee,Alabama,Penn State,Washington,Clemson,Florida State,Oregon State,Utah,Tulane,Oregon,Kansas State,USC,LSU,Notre Dame,Mississippi State,Troy,Pittsburgh,Fresno State,Minnesota,South Carolina,UCLA
Akron,Joe Moorhead,Georgia,Ohio State,TCU,Michigan,Alabama,Penn State,Tennessee,Notre Dame,Utah,USC,Washington,Florida State,Clemson,LSU,Oregon State,Tulane,Kansas State,South Carolina,Mississippi State,Minnesota,Oregon,Iowa,Troy,Air Force,Pittsburgh
Connecticut,Jim Mora,Georgia,TCU,Alabama,Michigan,Ohio State,Tennessee,Penn State,Washington,Florida State,Oregon,Oregon State,Tulane,USC,Utah,Clemson,LSU,Notre Dame,UTSA,Troy,Mississippi State,Pittsburgh,Fresno State,UCLA,Minnesota,Duke
Florida,Billy Napier,Georgia,TCU,Ohio State,Michigan,Alabama,Tennessee,Penn State,Florida State,Oregon State,Washington,LSU,Clemson,Tulane,Oregon,Kansas State,Notre Dame,USC,Utah,Mississippi State,Pittsburgh,UCLA,Troy,South Carolina,Texas,UTSA
Pittsburgh,Pat Narduzzi,Georgia,Ohio State,Alabama,Tennessee,TCU,Michigan,Clemson,Washington,Penn State,Florida State,Tulane,Oregon,USC,Utah,Kansas State,LSU,Oregon State,Pittsburgh,Notre Dame,North Carolina,UCLA,Mississippi State,South Carolina,Troy,Ole Miss
Navy,Ken Niumatalolo,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,Tulane,Clemson,USC,Florida State,LSU,Oregon State,Kansas State,Oregon,Mississippi State,Utah,Troy,Notre Dame,South Carolina,Texas Tech,Texas,Pittsburgh,Iowa
Arkansas,Sam Pittman,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,Tulane,Kansas State,Utah,Clemson,USC,Florida State,LSU,Oregon State,Oregon,Mississippi State,UCLA,Troy,Notre Dame,North Carolina,Pittsburgh,Fresno State,UTSA
Virginia Tech,Brent Pry,Georgia,Ohio State,TCU,Michigan,Alabama,Tennessee,Penn State,Washington,Florida State,Clemson,Utah,LSU,Tulane,USC,Kansas State,Oregon,Oregon State,Notre Dame,Mississippi State,UCLA,South Carolina,Troy,Pittsburgh,Duke,Texas
Alabama,Nick Saban,Georgia,Alabama,TCU,Michigan,Ohio State,Tennessee,Penn State,Washington,Utah,Tulane,Florida State,Kansas State,USC,Clemson,Oregon State,Oregon,LSU,UCLA,Notre Dame,Mississippi State,Minnesota,Troy,Texas,South Carolina,Maryland
Louisville,Scott Satterfield,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Clemson,Tulane,USC,Kansas State,Washington,Utah,Florida State,LSU,Oregon State,Oregon,Troy,Notre Dame,Pittsburgh,UCLA,Mississippi State,Louisville,Cincinnati,Minnesota
Rutgers,Greg Schiano,Georgia,Ohio State,Michigan,TCU,Alabama,Penn State,Tennessee,Utah,USC,Clemson,LSU,Tulane,Kansas State,Washington,Florida State,Oregon,Oregon State,Notre Dame,Mississippi State,Minnesota,UCLA,Duke,Pittsburgh,Troy,Purdue
Georgia,Kirby Smart,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,USC,Utah,Washington,Kansas State,LSU,Clemson,Oregon State,Oregon,Tulane,Notre Dame,Florida State,UCLA,Texas,South Carolina,Mississippi State,Troy,UTSA,Pittsburgh
Texas State,Jake Spavital,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Washington,Tulane,Utah,Florida State,LSU,USC,Clemson,Kansas State,Oregon State,Oregon,Notre Dame,Troy,Mississippi State,Fresno State,Pittsburgh,South Carolina,UCLA,UTSA
Middle Tennessee,Rick Stockstill,Georgia,TCU,Alabama,Ohio State,Tennessee,Michigan,Penn State,Washington,Clemson,Florida State,Utah,LSU,Oregon,Tulane,USC,Oregon State,Kansas State,Notre Dame,South Carolina,Mississippi State,Troy,UTSA,Minnesota,Pittsburgh,North Carolina
Troy,Jon Sumrall,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,Tulane,Kansas State,Utah,USC,Clemson,LSU,Florida State,Oregon State,Oregon,Troy,Notre Dame,Mississippi State,Pittsburgh,UTSA,UCLA,South Carolina,Fresno State
Fresno State,Jeff Tedford,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Washington,Tulane,Utah,Kansas State,USC,Clemson,Florida State,Oregon,LSU,Oregon State,Notre Dame,UCLA,Mississippi State,Troy,Fresno State,Pittsburgh,Air Force,Boise State
UTSA,Jeff Traylor,Georgia,TCU,Michigan,Ohio State,Tennessee,Alabama,Penn State,Washington,Florida State,LSU,Clemson,Tulane,Kansas State,Oregon State,Oregon,Utah,USC,Notre Dame,Troy,UTSA,Mississippi State,South Carolina,Fresno State,Pittsburgh,Texas Tech
Michigan State,Mel Tucker,Georgia,TCU,Michigan,Ohio State,Alabama,Tennessee,Penn State,Washington,Tulane,Florida State,Oregon,LSU,USC,Utah,Clemson,Kansas State,Oregon State,Notre Dame,Mississippi State,Troy,South Carolina,Fresno State,UCLA,North Carolina,UTSA
Utah,Kyle Whittingham,Georgia,TCU,Ohio State,Michigan,Tennessee,Alabama,Penn State,Tulane,LSU,Utah,Washington,USC,Oregon State,Oregon,Clemson,Florida State,Kansas State,Notre Dame,Mississippi State,Troy,Fresno State,Duke,UCLA,Boise State,UTSA
Nevada,Ken Wilson,Georgia,TCU,Ohio State,Michigan,Alabama,Washington,Penn State,Tennessee,Oregon,Kansas State,Tulane,Utah,Clemson,Oregon State,USC,LSU,Florida State,Fresno State,Mississippi State,Boise State,Notre Dame,Troy,Air Force,Pittsburgh,UCLA
