2020 Week 16,,,,,,,,,,,,,,,,,,,,,,,,,,
School,Coach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Florida,Dan Mullen,Alabama,Clemson,Ohio State,Texas A&M,Notre Dame,Florida,Oklahoma,Cincinnati,Georgia,Iowa State,Indiana,North Carolina,Coastal Carolina,Miami,Northwestern,NC State,Iowa,Auburn,BYU,Louisiana,San Jose State,Oklahoma State,Oregon,Colorado,USC
Louisiana,Billy Napier,Alabama,Clemson,Texas A&M,Ohio State,Florida,Notre Dame,Oklahoma,Georgia,Indiana,Cincinnati,Coastal Carolina,Louisiana,Iowa State,North Carolina,Northwestern,Iowa,BYU,Texas,Oklahoma State,Oregon,Liberty,San Jose State,Miami,Ball State,Army
Navy,Ken Niumatalolo,Alabama,Clemson,Ohio State,Notre Dame,Cincinnati,Texas A&M,Indiana,Georgia,Coastal Carolina,BYU,Tulsa,Louisiana,Northwestern,Oklahoma,Florida,Oregon,Iowa,USC,North Carolina,Liberty,Miami,NC State,Texas,Iowa State,San Jose State
LSU,Ed Orgeron,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Florida,Cincinnati,Coastal Carolina,BYU,Louisiana,Oklahoma,Indiana,Northwestern,Iowa State,Georgia,Tulsa,Miami,Washington,North Carolina,Oregon,USC,NC State,San Jose State,Nevada,Army
TCU,Gary Patterson,Alabama,Clemson,Notre Dame,Texas A&M,Ohio State,Oklahoma,Florida,Cincinnati,Iowa State,Georgia,Indiana,North Carolina,Coastal Carolina,Northwestern,Iowa,BYU,Miami,Texas,Oklahoma State,Louisiana,USC,NC State,San Jose State,Army,Oregon
Tennessee,Jeremy Pruitt,Alabama,Texas A&M,Clemson,Ohio State,Notre Dame,Cincinnati,Georgia,Florida,Oklahoma,Indiana,Coastal Carolina,Northwestern,Iowa State,North Carolina,USC,Louisiana,BYU,Iowa,Miami,San Jose State,Texas,Oregon,NC State,Oklahoma State,Liberty
Alabama,Nick Saban,Alabama,Clemson,Notre Dame,Texas A&M,Ohio State,Cincinnati,Oklahoma,Florida,Georgia,Indiana,Coastal Carolina,Iowa State,North Carolina,Iowa,USC,Northwestern,BYU,Miami,Louisiana,Texas,Oklahoma State,San Jose State,NC State,Oregon,Tulsa
Louisville,Scott Satterfield,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Georgia,Cincinnati,Oklahoma,Indiana,Coastal Carolina,Florida,Iowa State,North Carolina,Iowa,BYU,Miami,,,,,,,,,
Louisiana,17,USC,Northwestern,Texas,NC State,Oklahoma State,San Jose State,Liberty,Tulsa,,,,,,,,,,,,,,,,,
South Florida,Jeff Scott,Alabama,Clemson,Ohio State,Texas A&M,Notre Dame,Cincinnati,Oklahoma,Florida,Indiana,Georgia,Coastal Carolina,Northwestern,Iowa State,Louisiana,USC,North Carolina,Miami,BYU,San Jose State,Iowa,Texas,NC State,Liberty,Oregon,Tulsa
Georgia,Kirby Smart,Alabama,Clemson,Texas A&M,Florida,Notre Dame,Ohio State,Georgia,Cincinnati,Indiana,Oklahoma,Iowa State,Northwestern,Iowa,Coastal Carolina,North Carolina,Auburn,Texas,Louisiana,Oklahoma State,Wisconsin,BYU,San Jose State,Miami,Oregon,Colorado
Oregon State,Jonathan Smith,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Cincinnati,Indiana,Georgia,Oklahoma,Coastal Carolina,Iowa State,Florida,North Carolina,BYU,Northwestern,Iowa,Louisiana,Miami,USC,Liberty,Oklahoma State,NC State,Texas,San Jose State,Colorado
Ohio,Frank Solich,Alabama,Clemson,Ohio State,Texas A&M,Notre Dame,Cincinnati,Oklahoma,Indiana,Georgia,Coastal Carolina,BYU,North Carolina,Florida,Iowa,Iowa State,Miami,San Jose State,Louisiana,Army,Northwestern,Liberty,NC State,USC,Tulsa,Oklahoma State
Texas State,Jake Spavital,Alabama,Clemson,Ohio State,Notre Dame,Cincinnati,Oklahoma,Texas A&M,Florida,Coastal Carolina,Iowa State,Indiana,Louisiana,BYU,Georgia,Northwestern,San Jose State,USC,Iowa,North Carolina,Miami,Texas,Oklahoma State,Oregon,Liberty,Tulsa
Middle Tennessee,Rick Stockstill,Alabama,Clemson,Texas A&M,Ohio State,Notre Dame,Cincinnati,Indiana,Georgia,Oklahoma,Florida,Northwestern,Coastal Carolina,North Carolina,BYU,Iowa State,Iowa,Louisiana,Miami,USC,Liberty,Oklahoma State,Oregon,Tulsa,San Jose State,Army
Clemson,Dabo Swinney,Alabama,Clemson,Notre Dame,Texas A&M,Florida,Georgia,Cincinnati,Oklahoma,Iowa State,Coastal Carolina,Ohio State,North Carolina,BYU,Indiana,Miami,Louisiana,Oklahoma State,NC State,Northwestern,USC,Texas,Iowa,Liberty,San Jose State,Army
Michigan State,Mel Tucker,Alabama,Clemson,Ohio State,Texas A&M,Notre Dame,Cincinnati,Oklahoma,Florida,Georgia,Iowa State,Indiana,Iowa,Coastal Carolina,North Carolina,Northwestern,BYU,Miami,Louisiana,Texas,San Jose State,Liberty,Ball State,NC State,Tulsa,Oregon
Texas Tech,Matt Wells,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,Oklahoma,Cincinnati,Iowa State,Indiana,Florida,Georgia,Coastal Carolina,Northwestern,North Carolina,USC,BYU,Miami,Iowa,Louisiana,San Jose State,Texas,Oklahoma State,NC State,Tulsa,Liberty
Utah,Kyle Whittingham,Alabama,Clemson,Ohio State,Notre Dame,Texas A&M,,,,,,,,,,,,,,,,,,,,
Cincinnati,6,Indiana,Oklahoma,Florida,Georgia,Northwestern,Coastal Carolina,San Jose State,Iowa State,Tulsa,Oregon,USC,BYU,Iowa,Buffalo,Miami,Louisiana,Washington,Utah,Colorado,,,,,,
